,string_constant,float_constant,int_constant,string,"ident,",ident(,return,print,float,ident,break,else,read,null,new,int,def,for,>=,if,<=,!=,==,<,),=,%,;,+,(,],-,$,>,/,},[,*,{
PROGRAM,--,--,--,STATEMENT,--,--,STATEMENT,STATEMENT,STATEMENT,STATEMENT,STATEMENT,--,STATEMENT,--,--,STATEMENT,FUNCLIST,STATEMENT,--,STATEMENT,--,--,--,--,--,--,--,STATEMENT,--,--,--,--,\epsilon,--,--,--,--,--,STATEMENT
FUNCLIST,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FUNCDEF F`,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
F`,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FUNCLIST,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,\epsilon,--,--,--,--,--,--
FUNCDEF,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,def ident( PARAMLIST ) { STATELIST },--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
PARAMLIST,--,--,--,string G`,--,--,--,--,float G`,--,--,--,--,--,--,int G`,--,--,--,--,--,--,--,--,\epsilon,--,--,--,--,--,--,--,--,--,--,--,--,--,--
G`,--,--,--,--,"ident, PARAMLIST",--,--,--,--,ident,--,--,--,--,--,--,--,--,--,--,--,--,--,--,\epsilon,--,--,--,--,--,--,--,--,--,--,--,--,--,--
STATEMENT,--,--,--,VARDECL ;,--,--,RETURNSTAT ;,PRINTSTAT ;,VARDECL ;,ATRIBSTAT ;,break ;,--,READSTAT ;,--,--,VARDECL ;,--,FORSTAT,--,IFSTAT,--,--,--,--,--,--,--,;,--,--,--,--,--,--,--,--,--,--,{ STATELIST }
VARDECL,--,--,--,string ident E`,--,--,--,--,float ident E`,--,--,--,--,--,--,int ident E`,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
E`,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,\epsilon,--,--,--,--,--,--,--,--,[ int_constant ] E`,--,--
ATRIBSTAT,--,--,--,--,--,--,--,--,--,LVALUE = H`,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
H`,EXPRESSION,EXPRESSION,EXPRESSION,--,--,FUNCCALL,--,--,--,EXPRESSION,--,--,--,EXPRESSION,ALLOCEXPRESSION,--,--,--,--,--,--,--,--,--,--,--,--,--,EXPRESSION,EXPRESSION,--,EXPRESSION,--,--,--,--,--,--,--
FUNCCALL,--,--,--,--,--,ident( PARAMLISTCALL ),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
PARAMLISTCALL,--,--,--,--,I`,--,--,--,--,I`,--,--,--,--,--,--,--,--,--,--,--,--,--,--,\epsilon,--,--,--,--,--,--,--,--,--,--,--,--,--,--
I`,--,--,--,--,"ident, PARAMLISTCALL",--,--,--,--,ident,--,--,--,--,--,--,--,--,--,--,--,--,--,--,\epsilon,--,--,--,--,--,--,--,--,--,--,--,--,--,--
